date,news_volume,news_sentiment_normalized,news_sentiment_7d_ma,news_volume_7d_ma,news_sentiment_change,news_volume_change,news_sentiment_percentile,news_extreme_positive,news_extreme_negative
2024-01-20,844,-7.646215959888352e-05,-8.109628492696693e-05,1482.5714285714287,4.5227242017817454e-05,-659.0,30.0,0,0
2024-01-21,887,-8.801954186269249e-05,-8.01178988467824e-05,1492.142857142857,-1.155738226380897e-05,43.0,25.49019607843137,0,0
2024-01-22,1742,-9.007088411670912e-05,-8.608755249814354e-05,1542.142857142857,-2.0513422540166293e-06,855.0,25.0,0,0
2024-01-23,2182,-6.55944870708129e-05,-8.149829935762304e-05,1593.142857142857,2.4476397045896216e-05,440.0,35.84905660377358,0,0
2024-01-24,1962,-4.1314011841214374e-05,-7.859292477932839e-05,1627.2857142857142,2.428047522959853e-05,-220.0,42.592592592592595,0,0
2024-01-25,1976,-9.606537900109015e-05,-8.274512358687193e-05,1585.142857142857,-5.475136715987578e-05,14.0,18.181818181818183,0,0
2024-01-26,1797,-9.225290550014387e-05,-7.853990985593521e-05,1627.142857142857,3.81247350094628e-06,-179.0,23.214285714285715,0,0
2024-01-27,763,-9.825798068875524e-05,-8.165359858305973e-05,1615.5714285714287,-6.005075188611367e-06,-1034.0,14.035087719298245,0,0
2024-01-28,1010,-8.625066841254716e-05,-8.140090237589612e-05,1633.142857142857,1.2007312276208075e-05,247.0,32.758620689655174,0,0
2024-01-29,1653,-8.082651593760052e-05,-8.008027835030916e-05,1620.4285714285713,5.424152474946644e-06,643.0,33.89830508474576,0,0
2024-01-30,1950,-1.4674104617573367e-05,-7.280593799984638e-05,1587.2857142857142,6.615241132002715e-05,297.0,48.333333333333336,0,0
2024-01-31,1966,-4.4332105321595915e-05,-7.323709421132946e-05,1587.857142857143,-2.9658000704022547e-05,16.0,45.90163934426229,0,0
