EDAD,edad2,educ,ingreso_total_familiar,horastrab,POBRE,ANO,HOGAR_ID
39.0,1521.0,12,231470.88724584103,30.0,1,2005,256418  _1.0
20.0,400.0,14,231470.88724584103,30.0,1,2005,256418  _1.0
18.0,324.0,17,231470.88724584103,30.0,1,2005,256418  _1.0
16.0,256.0,12,231470.88724584103,30.0,1,2005,256418  _1.0
14.0,196.0,12,231470.88724584103,30.0,1,2005,256418  _1.0
3.0,9.0,3,231470.88724584103,30.0,1,2005,256418  _1.0
43.0,1849.0,9,81905.0831792976,36.0,1,2005,256560  _1.0
43.0,1849.0,7,81905.0831792976,36.0,1,2005,256560  _1.0
19.0,361.0,9,81905.0831792976,36.0,1,2005,256560  _1.0
17.0,289.0,7,81905.0831792976,36.0,1,2005,256560  _1.0
14.0,196.0,7,81905.0831792976,36.0,1,2005,256560  _1.0
1.0,1.0,3,81905.0831792976,36.0,1,2005,256560  _1.0
32.0,1024.0,12,899175.3696857671,45.0,0,2005,256650  _1.0
38.0,1444.0,0,899175.3696857671,45.0,0,2005,256650  _1.0
1.0,1.0,3,899175.3696857671,45.0,0,2005,256650  _1.0
60.0,3600.0,12,964343.3271719038,40.0,0,2005,256852  _1.0
56.0,3136.0,14,964343.3271719038,40.0,0,2005,256852  _1.0
81.0,6561.0,9,964343.3271719038,40.0,0,2005,256852  _1.0
40.0,1600.0,9,213665.43438077634,72.0,1,2005,257002  _1.0
33.0,1089.0,14,213665.43438077634,72.0,1,2005,257002  _1.0
73.0,5329.0,7,213665.43438077634,72.0,1,2005,257002  _1.0
64.0,4096.0,7,213665.43438077634,72.0,1,2005,257002  _1.0
62.0,3844.0,7,160249.07578558224,55.0,0,2005,257408  _1.0
55.0,3025.0,0,1324725.6931608133,60.0,0,2005,257459  _1.0
55.0,3025.0,14,1324725.6931608133,60.0,0,2005,257459  _1.0
25.0,625.0,0,1324725.6931608133,60.0,0,2005,257459  _1.0
22.0,484.0,17,1324725.6931608133,60.0,0,2005,257459  _1.0
47.0,2209.0,17,527753.6229205176,54.0,0,2005,257591  _1.0
37.0,1369.0,17,527753.6229205176,54.0,0,2005,257591  _1.0
18.0,324.0,17,527753.6229205176,54.0,0,2005,257591  _1.0
16.0,256.0,12,527753.6229205176,54.0,0,2005,257591  _1.0
13.0,169.0,12,527753.6229205176,54.0,0,2005,257591  _1.0
2.0,4.0,3,527753.6229205176,54.0,0,2005,257591  _1.0
40.0,1600.0,17,534163.5859519409,40.0,0,2005,257596  _1.0
30.0,900.0,0,534163.5859519409,40.0,0,2005,257596  _1.0
37.0,1369.0,9,569774.4916820702,30.0,0,2005,257682  _1.0
34.0,1156.0,9,569774.4916820702,30.0,0,2005,257682  _1.0
17.0,289.0,17,569774.4916820702,30.0,0,2005,257682  _1.0
14.0,196.0,12,569774.4916820702,30.0,0,2005,257682  _1.0
11.0,121.0,7,569774.4916820702,30.0,0,2005,257682  _1.0
31.0,961.0,14,267081.7929759704,40.0,0,2005,257920  _1.0
2.0,4.0,3,267081.7929759704,40.0,0,2005,257920  _1.0
41.0,1681.0,12,462941.77449168207,40.0,0,2005,257952  _1.0
44.0,1936.0,9,462941.77449168207,40.0,0,2005,257952  _1.0
53.0,2809.0,9,551969.0388170056,45.0,0,2005,258003  _1.0
49.0,2401.0,7,551969.0388170056,45.0,0,2005,258003  _1.0
15.0,225.0,12,551969.0388170056,45.0,0,2005,258003  _1.0
55.0,3025.0,12,409525.41589648795,30.0,0,2005,258297  _1.0
50.0,2500.0,12,409525.41589648795,30.0,0,2005,258297  _1.0
29.0,841.0,14,409525.41589648795,30.0,0,2005,258297  _1.0
7.0,49.0,7,409525.41589648795,30.0,0,2005,258297  _1.0
37.0,1369.0,14,783439.9260628466,84.0,0,2005,258303  _1.0
35.0,1225.0,0,783439.9260628466,84.0,0,2005,258303  _1.0
10.0,100.0,7,783439.9260628466,84.0,0,2005,258303  _1.0
6.0,36.0,7,783439.9260628466,84.0,0,2005,258303  _1.0
59.0,3481.0,9,320498.1515711645,55.0,0,2005,258350  _1.0
55.0,3025.0,14,1164476.617375231,55.0,0,2005,258358  _1.0
51.0,2601.0,7,1164476.617375231,55.0,0,2005,258358  _1.0
29.0,841.0,9,1164476.617375231,55.0,0,2005,258358  _1.0
27.0,729.0,14,1164476.617375231,55.0,0,2005,258358  _1.0
21.0,441.0,12,1164476.617375231,55.0,0,2005,258358  _1.0
26.0,676.0,12,1164476.617375231,55.0,0,2005,258358  _1.0
14.0,196.0,12,1164476.617375231,55.0,0,2005,258358  _1.0
19.0,361.0,12,1164476.617375231,55.0,0,2005,258358  _1.0
4.0,16.0,3,1164476.617375231,55.0,0,2005,258358  _1.0
2.0,4.0,3,1164476.617375231,55.0,0,2005,258358  _1.0
23.0,529.0,14,142443.62292051755,50.0,0,2005,258358  _2.0
16.0,256.0,9,142443.62292051755,50.0,0,2005,258358  _2.0
46.0,2116.0,9,972177.7264325323,55.0,0,2005,258380  _1.0
43.0,1849.0,9,972177.7264325323,55.0,0,2005,258380  _1.0
25.0,625.0,9,972177.7264325323,55.0,0,2005,258380  _1.0
23.0,529.0,14,972177.7264325323,55.0,0,2005,258380  _1.0
23.0,529.0,14,972177.7264325323,55.0,0,2005,258380  _1.0
21.0,441.0,9,972177.7264325323,55.0,0,2005,258380  _1.0
50.0,2500.0,9,292009.426987061,56.0,0,2005,258602  _1.0
55.0,3025.0,9,292009.426987061,56.0,0,2005,258602  _1.0
26.0,676.0,12,292009.426987061,56.0,0,2005,258602  _1.0
71.0,5041.0,9,292009.426987061,56.0,0,2005,258602  _1.0
48.0,2304.0,9,256398.5212569316,30.0,1,2005,258637  _1.0
49.0,2401.0,14,256398.5212569316,30.0,1,2005,258637  _1.0
22.0,484.0,14,256398.5212569316,30.0,1,2005,258637  _1.0
21.0,441.0,17,256398.5212569316,30.0,1,2005,258637  _1.0
11.0,121.0,7,256398.5212569316,30.0,1,2005,258637  _1.0
