CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO,HOGAR_ID,ADULTO_EQUIVALENTE,AD_EQUIV_HOGAR,INGRESO_NECESARIO,POBRE,EDAD,edad2,educ,ingreso_total_familiar,horastrab_x,horastrab_y,miembros_hogar,horastrab
TQRMNOSYUHKOMLCDEIJAH00856434,1.0,1,2,41.0,3.0,4.0,3,1,0.0,117166.67,703000.0,250000.0,2.0,1.0,2025,TQRMNOSYUHKOMLCDEIJAH00856434_1.0,0.77,4.83,1763804.91,1,41.0,1681.0,9,703000.0,,,6,98.0
TQRMNOSYUHKOMLCDEIJAH00856434,1.0,2,1,16.0,5.0,1.0,3,3,3.0,117166.67,703000.0,0.0,0.0,,2025,TQRMNOSYUHKOMLCDEIJAH00856434_1.0,1.03,4.83,1763804.91,1,16.0,256.0,9,703000.0,,,6,98.0
TQRMNOSYUHKOMLCDEIJAH00856434,1.0,3,1,14.0,5.0,1.0,3,3,3.0,117166.67,703000.0,0.0,0.0,,2025,TQRMNOSYUHKOMLCDEIJAH00856434_1.0,0.96,4.83,1763804.91,1,14.0,196.0,9,703000.0,,,6,98.0
TQRMNOSYUHKOMLCDEIJAH00856434,1.0,4,2,12.0,5.0,4.0,3,3,3.0,117166.67,703000.0,0.0,0.0,,2025,TQRMNOSYUHKOMLCDEIJAH00856434_1.0,0.74,4.83,1763804.91,1,12.0,144.0,9,703000.0,,,6,98.0
TQRMNOSYUHKOMLCDEIJAH00856434,1.0,5,2,9.0,5.0,4.0,1,4,3.0,117166.67,703000.0,0.0,0.0,,2025,TQRMNOSYUHKOMLCDEIJAH00856434_1.0,0.69,4.83,1763804.91,1,9.0,81.0,3,703000.0,,,6,98.0
TQRMNOQQYHJOSQCDEIJAH00876794,1.0,1,1,44.0,2.0,1.0,3,1,0.0,250000.0,1000000.0,300000.0,2.0,2.0,2025,TQRMNOQQYHJOSQCDEIJAH00876794_1.0,1.0,3.21,1172218.17,1,44.0,1936.0,9,1000000.0,,,4,48.0
TQRMNOQQYHJOSQCDEIJAH00876794,1.0,2,2,41.0,2.0,1.0,6,1,0.0,250000.0,1000000.0,700000.0,3.0,2.0,2025,TQRMNOQQYHJOSQCDEIJAH00876794_1.0,0.77,3.21,1172218.17,1,41.0,1681.0,17,1000000.0,,,4,48.0
TQRMNOQQYHJOSQCDEIJAH00876794,1.0,3,2,18.0,5.0,1.0,3,3,3.0,250000.0,1000000.0,0.0,0.0,,2025,TQRMNOQQYHJOSQCDEIJAH00876794_1.0,0.76,3.21,1172218.17,1,18.0,324.0,9,1000000.0,,,4,48.0
TQRMNOQQYHJOSQCDEIJAH00876794,1.0,4,1,8.0,5.0,1.0,1,4,3.0,250000.0,1000000.0,0.0,0.0,,2025,TQRMNOQQYHJOSQCDEIJAH00876794_1.0,0.68,3.21,1172218.17,1,8.0,64.0,3,1000000.0,,,4,48.0
TQRMNORTXHKORMCDEIJAH00878014,1.0,1,2,46.0,5.0,1.0,3,1,0.0,335500.0,671000.0,600000.0,3.0,2.0,2025,TQRMNORTXHKORMCDEIJAH00878014_1.0,0.76,1.76,642711.52,0,46.0,2116.0,9,671000.0,,,2,36.0
