EDAD,edad2,educ,ingreso_total_familiar,miembros_hogar,horastrab,POBRE,ANO,cluster_k2,cluster_k4,cluster_k10,CH04,CH07,CH08,NIVEL_ED,ESTADO,CAT_OCUP
64.0,4096.0,0,2563985.212569316,2,45.0,0,2005,1,1,4,2,,,7,2,2.0
37.0,1369.0,12,213665.43438077634,3,60.0,0,2005,1,3,1,1,,,4,1,3.0
31.0,961.0,9,213665.43438077634,3,60.0,0,2005,0,3,1,2,,,3,3,0.0
10.0,100.0,7,213665.43438077634,3,60.0,0,2005,0,0,2,1,,,2,3,0.0
47.0,2209.0,17,1246381.7005545285,1,50.0,0,2005,1,3,9,1,,,6,1,3.0
32.0,1024.0,14,409525.41589648795,3,54.0,0,2005,0,3,1,1,,,5,1,3.0
25.0,625.0,14,409525.41589648795,3,54.0,0,2005,0,3,1,2,,,5,1,3.0
65.0,4225.0,12,409525.41589648795,3,54.0,0,2005,1,1,3,2,,,4,1,2.0
28.0,784.0,12,249276.34011090573,3,60.0,0,2005,0,3,1,1,,,4,1,2.0
25.0,625.0,17,249276.34011090573,3,60.0,0,2005,0,3,1,2,,,6,3,0.0
35.0,1225.0,17,787001.0166358595,1,42.0,0,2005,1,3,1,2,,,6,1,3.0
27.0,729.0,17,1064766.0813308686,2,45.0,0,2005,0,3,1,1,,,6,1,3.0
29.0,841.0,0,1064766.0813308686,2,45.0,0,2005,0,0,4,2,,,7,1,3.0
53.0,2809.0,0,1388825.323475046,4,40.0,0,2005,1,1,4,1,,,7,1,2.0
48.0,2304.0,0,1388825.323475046,4,40.0,0,2005,1,1,4,2,,,7,1,3.0
16.0,256.0,12,1388825.323475046,4,40.0,0,2005,0,3,1,2,,,4,3,0.0
13.0,169.0,12,1388825.323475046,4,40.0,0,2005,0,3,1,1,,,4,3,0.0
46.0,2116.0,14,213665.43438077634,2,42.0,0,2005,1,3,9,2,,,5,1,3.0
19.0,361.0,17,213665.43438077634,2,42.0,0,2005,0,3,1,2,,,6,1,3.0
33.0,1089.0,14,783439.9260628466,3,84.0,0,2005,0,3,8,2,,,5,1,3.0
60.0,3600.0,9,783439.9260628466,3,84.0,0,2005,1,1,9,2,,,3,3,0.0
38.0,1444.0,14,783439.9260628466,3,84.0,0,2005,1,3,8,1,,,5,1,2.0
31.0,961.0,0,1050521.7190388169,1,54.0,0,2005,0,0,4,2,,,7,1,2.0
60.0,3600.0,14,637435.212569316,1,40.0,0,2005,1,1,3,2,,,5,1,3.0
25.0,625.0,17,409525.41589648795,2,25.0,0,2005,0,3,6,2,,,6,1,3.0
29.0,841.0,17,409525.41589648795,2,25.0,0,2005,1,3,6,2,,,6,1,3.0
33.0,1089.0,0,560871.7652495379,1,27.0,0,2005,0,0,4,2,,,7,1,3.0
60.0,3600.0,0,1241040.0646950093,4,21.0,0,2005,1,1,4,1,,,7,1,2.0
60.0,3600.0,14,1241040.0646950093,4,21.0,0,2005,1,1,3,2,,,5,3,0.0
33.0,1089.0,17,1241040.0646950093,4,21.0,0,2005,1,3,6,1,,,6,1,3.0
28.0,784.0,14,1241040.0646950093,4,21.0,0,2005,0,3,6,1,,,5,1,3.0
25.0,625.0,14,277765.0646950092,1,32.0,0,2005,0,3,1,1,,,5,1,3.0
50.0,2500.0,17,605385.3974121996,3,60.0,0,2005,1,3,9,2,,,6,1,1.0
20.0,400.0,17,605385.3974121996,3,60.0,0,2005,0,3,1,2,,,6,3,0.0
16.0,256.0,12,605385.3974121996,3,60.0,0,2005,0,3,1,2,,,4,3,0.0
34.0,1156.0,14,997105.3604436229,2,63.0,0,2005,1,3,1,1,,,5,1,3.0
28.0,784.0,12,997105.3604436229,2,63.0,0,2005,0,3,1,2,,,4,1,3.0
75.0,5625.0,14,715066.9870609981,3,44.0,0,2005,1,1,3,1,,,5,1,3.0
75.0,5625.0,14,715066.9870609981,3,44.0,0,2005,1,1,3,1,,,5,1,3.0
66.0,4356.0,14,715066.9870609981,3,44.0,0,2005,1,1,3,2,,,5,3,0.0
60.0,3600.0,12,1228576.247689464,8,44.0,0,2005,1,1,9,1,,,4,1,1.0
57.0,3249.0,9,1228576.247689464,8,44.0,0,2005,1,1,9,2,,,3,1,3.0
27.0,729.0,14,1228576.247689464,8,44.0,0,2005,0,3,7,2,,,5,1,2.0
25.0,625.0,12,1228576.247689464,8,44.0,0,2005,0,0,7,1,,,4,1,3.0
18.0,324.0,12,1228576.247689464,8,44.0,0,2005,0,0,7,1,,,4,3,0.0
24.0,576.0,12,1228576.247689464,8,44.0,0,2005,0,0,7,2,,,4,3,0.0
5.0,25.0,7,1228576.247689464,8,44.0,0,2005,0,0,7,2,,,2,4,0.0
2.0,4.0,3,1228576.247689464,8,44.0,0,2005,0,0,7,1,,,1,4,0.0
54.0,2916.0,17,747829.0203327172,4,25.0,0,2005,1,1,9,1,,,6,1,1.0
51.0,2601.0,14,747829.0203327172,4,25.0,0,2005,1,1,9,2,,,5,1,3.0
25.0,625.0,17,747829.0203327172,4,25.0,0,2005,0,3,6,1,,,6,1,3.0
24.0,576.0,17,747829.0203327172,4,25.0,0,2005,0,3,6,1,,,6,1,3.0
39.0,1521.0,9,356109.0573012939,4,45.0,0,2005,0,3,9,1,,,3,1,3.0
32.0,1024.0,9,356109.0573012939,4,45.0,0,2005,0,3,1,2,,,3,3,0.0
13.0,169.0,12,356109.0573012939,4,45.0,0,2005,0,3,1,2,,,4,3,0.0
10.0,100.0,7,356109.0573012939,4,45.0,0,2005,0,0,2,1,,,2,3,0.0
49.0,2401.0,0,534163.5859519409,3,40.0,0,2005,1,1,4,2,,,7,1,3.0
57.0,3249.0,0,534163.5859519409,3,40.0,0,2005,1,1,4,1,,,7,2,3.0
12.0,144.0,7,534163.5859519409,3,40.0,0,2005,0,0,2,2,,,2,3,0.0
33.0,1089.0,12,669485.0277264325,2,32.0,0,2005,1,3,6,1,,,4,1,2.0
33.0,1089.0,14,669485.0277264325,2,32.0,0,2005,1,3,1,1,,,5,1,3.0
70.0,4900.0,17,124638.17005545287,3,42.0,1,2005,1,1,3,1,,,6,1,3.0
69.0,4761.0,9,124638.17005545287,3,42.0,1,2005,1,1,3,2,,,3,3,0.0
34.0,1156.0,14,124638.17005545287,3,42.0,1,2005,0,3,1,2,,,5,2,3.0
40.0,1600.0,0,997105.3604436229,4,36.0,0,2005,0,0,4,1,,,7,1,3.0
35.0,1225.0,0,997105.3604436229,4,36.0,0,2005,0,0,4,2,,,7,3,0.0
4.0,16.0,3,997105.3604436229,4,36.0,0,2005,0,0,2,2,,,1,4,0.0
40.0,1600.0,0,794123.1977818854,3,45.0,0,2005,0,0,4,1,,,7,1,3.0
36.0,1296.0,0,794123.1977818854,3,45.0,0,2005,0,0,4,2,,,7,3,0.0
1.0,1.0,3,794123.1977818854,3,45.0,0,2005,0,0,2,2,,,1,4,0.0
43.0,1849.0,12,886711.5526802217,6,56.0,0,2005,1,3,9,1,,,4,1,3.0
34.0,1156.0,14,886711.5526802217,6,56.0,0,2005,0,3,1,2,,,5,1,3.0
14.0,196.0,12,886711.5526802217,6,56.0,0,2005,0,3,8,2,,,4,3,0.0
10.0,100.0,7,886711.5526802217,6,56.0,0,2005,0,0,2,2,,,2,3,0.0
1.0,1.0,3,886711.5526802217,6,56.0,0,2005,0,0,2,1,,,1,4,0.0
1.0,1.0,3,886711.5526802217,6,56.0,0,2005,0,0,2,1,,,1,4,0.0
43.0,1849.0,0,249276.34011090573,3,16.0,0,2005,1,1,4,2,,,7,1,2.0
15.0,225.0,12,249276.34011090573,3,16.0,0,2005,0,3,6,1,,,4,3,0.0
13.0,169.0,12,249276.34011090573,3,16.0,0,2005,0,3,6,2,,,4,3,0.0
41.0,1681.0,17,783439.9260628466,1,45.0,0,2005,1,3,1,1,,,6,1,3.0
52.0,2704.0,9,381036.69131238444,8,4.0,1,2005,1,1,7,2,,,3,1,3.0
28.0,784.0,12,381036.69131238444,8,4.0,1,2005,0,0,7,2,,,4,1,3.0
25.0,625.0,17,381036.69131238444,8,4.0,1,2005,0,3,7,1,,,6,1,3.0
23.0,529.0,12,381036.69131238444,8,4.0,1,2005,0,0,7,2,,,4,1,3.0
16.0,256.0,12,381036.69131238444,8,4.0,1,2005,0,0,7,2,,,4,3,0.0
34.0,1156.0,12,381036.69131238444,8,4.0,1,2005,0,0,7,1,,,4,1,3.0
5.0,25.0,7,381036.69131238444,8,4.0,1,2005,0,0,7,2,,,2,4,0.0
5.0,25.0,3,381036.69131238444,8,4.0,1,2005,0,0,7,2,,,1,4,0.0
38.0,1444.0,12,494991.5896487985,6,48.0,0,2005,0,3,9,1,,,4,1,3.0
36.0,1296.0,14,494991.5896487985,6,48.0,0,2005,0,3,1,2,,,5,2,3.0
12.0,144.0,7,494991.5896487985,6,48.0,0,2005,0,0,2,1,,,2,3,0.0
13.0,169.0,12,494991.5896487985,6,48.0,0,2005,0,0,1,1,,,4,3,0.0
9.0,81.0,7,494991.5896487985,6,48.0,0,2005,0,0,2,1,,,2,4,0.0
7.0,49.0,7,494991.5896487985,6,48.0,0,2005,0,0,2,1,,,2,4,0.0
72.0,5184.0,14,550544.6025878004,2,16.0,0,2005,1,1,3,1,,,5,1,3.0
68.0,4624.0,14,550544.6025878004,2,16.0,0,2005,1,1,3,2,,,5,3,0.0
62.0,3844.0,17,331181.4232902033,2,40.0,0,2005,1,1,3,1,,,6,1,3.0
19.0,361.0,17,331181.4232902033,2,40.0,0,2005,0,3,1,1,,,6,3,0.0
37.0,1369.0,12,356109.0573012939,5,40.0,0,2005,0,3,1,1,,,4,1,3.0
37.0,1369.0,14,356109.0573012939,5,40.0,0,2005,0,3,1,2,,,5,3,0.0
11.0,121.0,7,356109.0573012939,5,40.0,0,2005,0,0,2,2,,,2,3,0.0
9.0,81.0,7,356109.0573012939,5,40.0,0,2005,0,0,2,1,,,2,4,0.0
3.0,9.0,3,356109.0573012939,5,40.0,0,2005,0,0,2,1,,,1,4,0.0
35.0,1225.0,14,569774.4916820702,2,45.0,0,2005,1,3,1,1,,,5,1,3.0
31.0,961.0,14,569774.4916820702,2,45.0,0,2005,0,3,1,2,,,5,1,3.0
50.0,2500.0,9,142443.62292051755,1,1.0,0,2005,1,1,6,2,,,3,1,2.0
46.0,2116.0,0,534163.5859519409,4,54.0,0,2005,1,1,4,1,,,7,1,3.0
48.0,2304.0,0,534163.5859519409,4,54.0,0,2005,1,1,4,2,,,7,3,0.0
16.0,256.0,12,534163.5859519409,4,54.0,0,2005,0,3,1,1,,,4,3,0.0
12.0,144.0,12,534163.5859519409,4,54.0,0,2005,0,3,1,2,,,4,3,0.0
37.0,1369.0,0,462941.77449168207,1,40.0,0,2005,1,1,4,1,,,7,1,3.0
48.0,2304.0,0,1566879.852125693,3,46.0,0,2005,1,1,4,1,,,7,1,3.0
39.0,1521.0,14,1566879.852125693,3,46.0,0,2005,1,3,1,2,,,5,3,0.0
6.0,36.0,7,1566879.852125693,3,46.0,0,2005,0,0,2,2,,,2,4,0.0
33.0,1089.0,0,320498.1515711645,1,30.0,0,2005,0,0,4,2,,,7,1,3.0
36.0,1296.0,9,619629.7597042513,4,48.0,0,2005,0,3,1,1,,,3,1,3.0
36.0,1296.0,12,619629.7597042513,4,48.0,0,2005,0,3,1,2,,,4,1,3.0
86.0,7396.0,9,619629.7597042513,4,48.0,0,2005,1,1,3,2,,,3,3,0.0
2.0,4.0,3,619629.7597042513,4,48.0,0,2005,0,0,2,2,,,1,4,0.0
41.0,1681.0,17,569774.4916820702,1,30.0,0,2005,1,3,1,2,,,6,1,3.0
56.0,3136.0,9,195859.98151571164,4,24.0,1,2005,1,1,3,2,,,3,1,3.0
16.0,256.0,12,195859.98151571164,4,24.0,1,2005,0,3,6,2,,,4,3,0.0
14.0,196.0,7,195859.98151571164,4,24.0,1,2005,0,0,2,2,,,2,3,0.0
22.0,484.0,12,195859.98151571164,4,24.0,1,2005,0,3,6,2,,,4,3,0.0
36.0,1296.0,0,534163.5859519409,2,60.0,0,2005,0,0,4,2,,,7,1,1.0
4.0,16.0,3,534163.5859519409,2,60.0,0,2005,0,0,2,1,,,1,4,0.0
47.0,2209.0,9,213665.43438077634,1,55.0,0,2005,1,1,9,2,,,3,1,3.0
65.0,4225.0,7,1139548.9833641404,3,48.0,0,2005,1,1,3,1,,,2,1,3.0
67.0,4489.0,9,1139548.9833641404,3,48.0,0,2005,1,1,3,2,,,3,3,0.0
34.0,1156.0,0,1139548.9833641404,3,48.0,0,2005,0,0,4,1,,,7,1,3.0
63.0,3969.0,0,2154459.796672828,4,9.0,0,2005,1,1,3,1,,,7,1,3.0
60.0,3600.0,0,2154459.796672828,4,9.0,0,2005,1,1,4,2,,,7,3,0.0
28.0,784.0,0,2154459.796672828,4,9.0,0,2005,0,0,4,1,,,7,1,3.0
24.0,576.0,0,2154459.796672828,4,9.0,0,2005,0,0,2,1,,,7,2,2.0
59.0,3481.0,14,445136.32162661734,2,20.0,0,2005,1,1,3,2,,,5,1,3.0
25.0,625.0,0,445136.32162661734,2,20.0,0,2005,0,0,4,1,,,7,1,3.0
55.0,3025.0,12,1780545.2865064694,2,40.0,0,2005,1,1,9,1,,,4,1,1.0
54.0,2916.0,14,1780545.2865064694,2,40.0,0,2005,1,1,9,2,,,5,1,4.0
60.0,3600.0,0,2777650.646950092,3,35.0,0,2005,1,1,4,2,,,7,1,2.0
58.0,3364.0,0,2777650.646950092,3,35.0,0,2005,1,1,4,1,,,7,1,2.0
20.0,400.0,17,2777650.646950092,3,35.0,0,2005,0,3,0,1,,,6,3,0.0
47.0,2209.0,0,4451363.216266174,4,55.0,0,2005,1,2,4,1,,,7,1,3.0
45.0,2025.0,0,4451363.216266174,4,55.0,0,2005,1,2,4,2,,,7,1,3.0
16.0,256.0,12,4451363.216266174,4,55.0,0,2005,0,2,0,2,,,4,3,0.0
14.0,196.0,12,4451363.216266174,4,55.0,0,2005,0,2,0,1,,,4,3,0.0
33.0,1089.0,14,240373.61367837337,1,60.0,0,2005,1,3,1,2,,,5,1,3.0
45.0,2025.0,0,756731.7467652495,3,40.0,0,2005,1,1,4,2,,,7,1,3.0
14.0,196.0,12,756731.7467652495,3,40.0,0,2005,0,3,1,2,,,4,3,0.0
12.0,144.0,7,756731.7467652495,3,40.0,0,2005,0,0,2,2,,,2,3,0.0
80.0,6400.0,9,238593.0683918669,4,12.0,1,2005,1,1,3,1,,,3,1,3.0
53.0,2809.0,7,238593.0683918669,4,12.0,1,2005,1,1,3,2,,,2,2,0.0
29.0,841.0,17,238593.0683918669,4,12.0,1,2005,0,3,6,2,,,6,2,3.0
17.0,289.0,12,238593.0683918669,4,12.0,1,2005,0,3,6,1,,,4,3,0.0
58.0,3364.0,12,106832.71719038817,2,6.0,1,2005,1,1,3,2,,,4,1,2.0
31.0,961.0,17,106832.71719038817,2,6.0,1,2005,1,3,6,1,,,6,2,0.0
59.0,3481.0,9,1025594.0850277264,8,54.0,0,2005,1,1,9,1,,,3,1,3.0
56.0,3136.0,9,1025594.0850277264,8,54.0,0,2005,1,1,9,2,,,3,3,0.0
39.0,1521.0,17,1025594.0850277264,8,54.0,0,2005,0,3,7,2,,,6,1,3.0
37.0,1369.0,14,1025594.0850277264,8,54.0,0,2005,0,3,7,2,,,5,1,3.0
35.0,1225.0,14,1025594.0850277264,8,54.0,0,2005,0,3,7,2,,,5,1,3.0
20.0,400.0,17,1025594.0850277264,8,54.0,0,2005,0,3,7,1,,,6,3,0.0
40.0,1600.0,14,1025594.0850277264,8,54.0,0,2005,0,3,7,1,,,5,1,3.0
4.0,16.0,3,1025594.0850277264,8,54.0,0,2005,0,0,7,1,,,1,4,0.0
82.0,6724.0,14,172712.89279112752,4,45.0,1,2005,1,1,3,1,,,5,1,3.0
38.0,1444.0,14,172712.89279112752,4,45.0,1,2005,1,3,1,2,,,5,3,0.0
41.0,1681.0,7,172712.89279112752,4,45.0,1,2005,1,3,9,2,,,2,3,0.0
41.0,1681.0,7,172712.89279112752,4,45.0,1,2005,1,3,9,2,,,2,3,0.0
29.0,841.0,9,427330.8687615527,3,40.0,0,2005,0,3,1,1,,,3,1,2.0
6.0,36.0,7,427330.8687615527,3,40.0,0,2005,0,0,2,2,,,2,4,0.0
2.0,4.0,3,427330.8687615527,3,40.0,0,2005,0,0,2,2,,,1,4,0.0
46.0,2116.0,9,142443.62292051755,1,72.0,0,2005,1,1,9,2,,,3,1,3.0
40.0,1600.0,0,462941.77449168207,2,35.0,0,2005,1,1,4,2,,,7,1,3.0
6.0,36.0,7,462941.77449168207,2,35.0,0,2005,0,0,2,1,,,2,4,0.0
44.0,1936.0,0,925883.5489833641,3,50.0,0,2005,1,1,4,1,,,7,1,3.0
45.0,2025.0,0,925883.5489833641,3,50.0,0,2005,1,1,4,2,,,7,3,0.0
19.0,361.0,17,925883.5489833641,3,50.0,0,2005,0,3,1,2,,,6,1,3.0
64.0,4096.0,17,231470.88724584103,3,84.0,0,2005,1,1,9,1,,,6,1,3.0
63.0,3969.0,12,231470.88724584103,3,84.0,0,2005,1,1,9,2,,,4,3,0.0
28.0,784.0,12,231470.88724584103,3,84.0,0,2005,0,3,8,1,,,4,3,0.0
50.0,2500.0,17,480747.22735674673,4,35.0,0,2005,1,1,9,1,,,6,1,3.0
49.0,2401.0,0,480747.22735674673,4,35.0,0,2005,1,1,4,2,,,7,3,0.0
15.0,225.0,12,480747.22735674673,4,35.0,0,2005,0,3,1,2,,,4,3,0.0
20.0,400.0,17,480747.22735674673,4,35.0,0,2005,0,3,1,1,,,6,3,0.0
43.0,1849.0,17,747829.0203327172,3,54.0,0,2005,1,3,9,1,,,6,1,3.0
41.0,1681.0,17,747829.0203327172,3,54.0,0,2005,1,3,1,2,,,6,3,0.0
3.0,9.0,3,747829.0203327172,3,54.0,0,2005,0,0,2,1,,,1,4,0.0
36.0,1296.0,0,555530.1293900184,6,48.0,0,2005,0,0,4,1,,,7,1,2.0
32.0,1024.0,14,555530.1293900184,6,48.0,0,2005,0,3,1,2,,,5,3,0.0
8.0,64.0,7,555530.1293900184,6,48.0,0,2005,0,0,2,2,,,2,4,0.0
6.0,36.0,7,555530.1293900184,6,48.0,0,2005,0,0,2,1,,,2,4,0.0
5.0,25.0,3,555530.1293900184,6,48.0,0,2005,0,0,2,2,,,1,4,0.0
42.0,1764.0,9,1994210.7208872458,6,104.0,0,2005,0,3,8,1,,,3,1,3.0
41.0,1681.0,9,1994210.7208872458,6,104.0,0,2005,0,3,8,2,,,3,1,3.0
20.0,400.0,12,1994210.7208872458,6,104.0,0,2005,0,3,8,1,,,4,1,2.0
17.0,289.0,12,1994210.7208872458,6,104.0,0,2005,0,3,8,1,,,4,3,0.0
16.0,256.0,12,1994210.7208872458,6,104.0,0,2005,0,3,8,2,,,4,3,0.0
14.0,196.0,12,1994210.7208872458,6,104.0,0,2005,0,3,8,1,,,4,3,0.0
35.0,1225.0,0,989983.179297597,1,38.0,0,2005,0,0,4,2,,,7,1,3.0
55.0,3025.0,14,697973.752310536,2,53.0,0,2005,1,1,9,2,,,5,1,3.0
25.0,625.0,14,697973.752310536,2,53.0,0,2005,0,3,1,2,,,5,3,0.0
70.0,4900.0,0,3190737.1534195933,2,50.0,0,2005,1,1,3,1,,,7,1,1.0
63.0,3969.0,0,3190737.1534195933,2,50.0,0,2005,1,1,4,2,,,7,3,0.0
50.0,2500.0,14,213665.43438077634,2,48.0,0,2005,1,1,9,1,,,5,1,2.0
47.0,2209.0,14,213665.43438077634,2,48.0,0,2005,1,1,9,2,,,5,1,2.0
55.0,3025.0,14,1673712.5693160812,2,50.0,0,2005,1,1,9,1,,,5,1,2.0
29.0,841.0,17,1673712.5693160812,2,50.0,0,2005,1,3,1,1,,,6,1,3.0
61.0,3721.0,14,640996.303142329,1,38.0,0,2005,1,1,3,2,,,5,1,3.0
29.0,841.0,14,448697.4121996303,6,60.0,0,2005,0,3,8,1,,,5,1,3.0
37.0,1369.0,14,448697.4121996303,6,60.0,0,2005,0,3,1,2,,,5,2,3.0
4.0,16.0,3,448697.4121996303,6,60.0,0,2005,0,0,2,1,,,1,4,0.0
7.0,49.0,7,448697.4121996303,6,60.0,0,2005,0,0,8,1,,,2,4,0.0
75.0,5625.0,14,448697.4121996303,6,60.0,0,2005,1,1,3,1,,,5,3,0.0
75.0,5625.0,14,448697.4121996303,6,60.0,0,2005,1,1,3,1,,,5,3,0.0
78.0,6084.0,14,142443.62292051755,2,44.0,0,2005,1,1,3,1,,,5,1,3.0
65.0,4225.0,14,142443.62292051755,2,44.0,0,2005,1,1,3,2,,,5,3,0.0
52.0,2704.0,0,498552.68022181146,1,3.0,0,2005,1,1,4,2,,,7,1,2.0
43.0,1849.0,14,113954.89833641404,2,70.0,1,2005,1,3,9,1,,,5,1,2.0
44.0,1936.0,9,113954.89833641404,2,70.0,1,2005,1,3,9,2,,,3,3,0.0
40.0,1600.0,0,366792.3290203327,5,69.0,0,2005,0,0,4,1,,,7,1,3.0
41.0,1681.0,14,366792.3290203327,5,69.0,0,2005,1,3,9,2,,,5,3,0.0
14.0,196.0,12,366792.3290203327,5,69.0,0,2005,0,3,8,2,,,4,3,0.0
12.0,144.0,7,366792.3290203327,5,69.0,0,2005,0,0,8,1,,,2,3,0.0
9.0,81.0,7,366792.3290203327,5,69.0,0,2005,0,0,8,1,,,2,4,0.0
38.0,1444.0,0,1424436.2292051755,3,24.0,0,2005,0,0,4,1,,,7,1,3.0
43.0,1849.0,0,1424436.2292051755,3,24.0,0,2005,1,1,4,2,,,7,1,3.0
2.0,4.0,3,1424436.2292051755,3,24.0,0,2005,0,0,2,2,,,1,4,0.0
24.0,576.0,0,640996.303142329,3,50.0,0,2005,0,0,4,1,,,7,1,2.0
28.0,784.0,0,640996.303142329,3,50.0,0,2005,0,0,4,1,,,7,1,2.0
31.0,961.0,0,640996.303142329,3,50.0,0,2005,0,0,4,1,,,7,1,2.0
27.0,729.0,0,640996.303142329,3,32.0,0,2005,0,0,4,1,,,7,1,3.0
25.0,625.0,14,640996.303142329,3,32.0,0,2005,0,3,1,2,,,5,1,3.0
5.0,25.0,7,640996.303142329,3,32.0,0,2005,0,0,2,2,,,2,4,0.0
64.0,4096.0,7,256754.6303142329,1,45.0,0,2005,1,1,3,1,,,2,1,3.0
39.0,1521.0,14,445136.32162661734,2,40.0,0,2005,1,3,1,1,,,5,1,3.0
36.0,1296.0,14,445136.32162661734,2,40.0,0,2005,1,3,1,2,,,5,1,3.0
56.0,3136.0,0,535944.1312384473,6,45.0,0,2005,1,1,4,1,,,7,1,3.0
56.0,3136.0,0,535944.1312384473,6,45.0,0,2005,1,1,4,2,,,7,3,0.0
26.0,676.0,0,535944.1312384473,6,45.0,0,2005,0,0,2,1,,,7,1,3.0
24.0,576.0,0,535944.1312384473,6,45.0,0,2005,0,0,2,1,,,7,3,0.0
23.0,529.0,17,535944.1312384473,6,45.0,0,2005,0,3,1,1,,,6,3,0.0
20.0,400.0,17,535944.1312384473,6,45.0,0,2005,0,3,1,2,,,6,3,0.0
25.0,625.0,7,224348.70609981514,1,60.0,0,2005,0,3,1,2,,,2,1,3.0
77.0,5929.0,17,829734.1035120147,4,40.0,0,2005,1,1,3,1,,,6,1,2.0
41.0,1681.0,12,829734.1035120147,4,40.0,0,2005,1,3,9,2,,,4,3,0.0
21.0,441.0,14,829734.1035120147,4,40.0,0,2005,0,3,1,1,,,5,1,3.0
86.0,7396.0,7,829734.1035120147,4,40.0,0,2005,1,1,3,2,,,2,3,0.0
59.0,3481.0,0,113954.89833641404,1,14.0,0,2005,1,1,3,1,,,7,1,3.0
52.0,2704.0,14,178054.52865064694,2,30.0,0,2005,1,1,9,2,,,5,1,2.0
25.0,625.0,0,178054.52865064694,2,30.0,0,2005,0,0,4,2,,,7,2,3.0
28.0,784.0,0,776317.7449168207,2,40.0,0,2005,0,0,4,1,,,7,1,3.0
26.0,676.0,17,776317.7449168207,2,40.0,0,2005,0,3,1,2,,,6,1,3.0
60.0,3600.0,0,1314042.4214417743,4,60.0,0,2005,1,1,4,1,,,7,1,2.0
53.0,2809.0,0,1314042.4214417743,4,60.0,0,2005,1,1,4,2,,,7,1,2.0
28.0,784.0,0,1314042.4214417743,4,60.0,0,2005,0,0,4,1,,,7,1,2.0
20.0,400.0,0,1314042.4214417743,4,60.0,0,2005,0,0,2,1,,,7,1,2.0
30.0,900.0,0,988202.6340110905,4,40.0,0,2005,0,0,4,1,,,7,1,3.0
30.0,900.0,0,988202.6340110905,4,40.0,0,2005,0,0,4,2,,,7,3,0.0
3.0,9.0,3,988202.6340110905,4,40.0,0,2005,0,0,2,1,,,1,4,0.0
32.0,1024.0,17,587579.9445471349,2,45.0,0,2005,1,3,1,1,,,6,1,3.0
33.0,1089.0,17,587579.9445471349,2,45.0,0,2005,1,3,1,2,,,6,1,3.0
31.0,961.0,17,1192965.3419593344,2,44.0,0,2005,1,3,1,2,,,6,1,3.0
35.0,1225.0,17,1192965.3419593344,2,44.0,0,2005,1,3,1,1,,,6,1,3.0
30.0,900.0,0,961494.4547134935,2,40.0,0,2005,0,0,4,1,,,7,1,3.0
