"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2015","591.00","591.00","591.00","591.00","","-0.67%"
"04/29/2015","595.00","595.00","595.00","595.00","","-1.00%"
"04/28/2015","601.00","601.00","601.00","601.00","","0.17%"
"04/27/2015","600.00","600.00","600.00","600.00","","0.00%"
"04/24/2015","600.00","600.00","600.00","600.00","","0.17%"
"04/23/2015","599.00","599.00","599.00","599.00","","-0.17%"
"04/22/2015","600.00","600.00","600.00","600.00","","-0.17%"
"04/21/2015","601.00","601.00","601.00","601.00","","0.50%"
"04/20/2015","598.00","598.00","598.00","598.00","","0.17%"
"04/17/2015","597.00","597.00","597.00","597.00","","0.67%"
"04/16/2015","593.00","593.00","593.00","593.00","","1.19%"
"04/15/2015","586.00","586.00","586.00","586.00","","0.86%"
"04/14/2015","581.00","581.00","581.00","581.00","","0.52%"
"04/13/2015","578.00","578.00","578.00","578.00","","-0.34%"
"04/10/2015","580.00","580.00","580.00","580.00","","0.00%"
"04/09/2015","580.00","580.00","580.00","580.00","","0.00%"
"04/08/2015","580.00","580.00","580.00","580.00","","-0.51%"
"04/07/2015","583.00","583.00","583.00","583.00","","-0.85%"
"04/02/2015","588.00","588.00","588.00","588.00","","-1.34%"
"04/01/2015","596.00","596.00","596.00","596.00","","-1.00%"
"03/31/2015","602.00","602.00","602.00","602.00","","0.50%"
"03/30/2015","599.00","599.00","599.00","599.00","","0.50%"
"03/27/2015","596.00","596.00","596.00","596.00","","-0.33%"
"03/26/2015","598.00","598.00","598.00","598.00","","0.00%"
"03/25/2015","598.00","598.00","598.00","598.00","","0.17%"
"03/24/2015","597.00","597.00","597.00","597.00","","0.51%"
"03/23/2015","594.00","594.00","594.00","594.00","","0.51%"
"03/20/2015","591.00","591.00","591.00","591.00","","1.20%"
"03/19/2015","584.00","584.00","584.00","584.00","","2.28%"
"03/18/2015","571.00","571.00","571.00","571.00","","0.53%"
"03/17/2015","568.00","568.00","568.00","568.00","","0.71%"
"03/16/2015","564.00","564.00","564.00","564.00","","0.36%"
"03/13/2015","562.00","562.00","562.00","562.00","","0.36%"
"03/12/2015","560.00","560.00","560.00","560.00","","-0.88%"
"03/11/2015","565.00","565.00","565.00","565.00","","-0.53%"
"03/10/2015","568.00","568.00","568.00","568.00","","0.00%"
"03/09/2015","568.00","568.00","568.00","568.00","","0.53%"
"03/06/2015","565.00","565.00","565.00","565.00","","0.71%"
"03/05/2015","561.00","561.00","561.00","561.00","","0.36%"
"03/04/2015","559.00","559.00","559.00","559.00","","1.08%"
"03/03/2015","553.00","553.00","553.00","553.00","","0.91%"
"03/02/2015","548.00","548.00","548.00","548.00","","1.48%"
"02/27/2015","540.00","540.00","540.00","540.00","","1.31%"
"02/26/2015","533.00","533.00","533.00","533.00","","1.72%"
"02/25/2015","524.00","524.00","524.00","524.00","","1.55%"
"02/24/2015","516.00","516.00","516.00","516.00","","0.78%"
"02/23/2015","512.00","512.00","512.00","512.00","","0.59%"
"02/18/2015","509.00","509.00","509.00","509.00","","-1.36%"
"02/17/2015","516.00","516.00","516.00","516.00","","-1.15%"
"02/16/2015","522.00","522.00","522.00","522.00","","-1.51%"
"02/13/2015","530.00","530.00","530.00","530.00","","-1.85%"
"02/12/2015","540.00","540.00","540.00","540.00","","-2.35%"
"02/11/2015","553.00","553.00","553.00","553.00","","-0.54%"
"02/10/2015","556.00","556.00","556.00","556.00","","0.36%"
"02/09/2015","554.00","554.00","554.00","554.00","","-0.89%"
"02/06/2015","559.00","559.00","559.00","559.00","","-0.89%"
"02/05/2015","564.00","564.00","564.00","564.00","","-0.88%"
"02/04/2015","569.00","569.00","569.00","569.00","","-1.39%"
"02/03/2015","577.00","577.00","577.00","577.00","","-2.20%"
"02/02/2015","590.00","590.00","590.00","590.00","","-2.96%"
"01/30/2015","608.00","608.00","608.00","608.00","","-3.80%"
"01/29/2015","632.00","632.00","632.00","632.00","","-5.11%"
"01/28/2015","666.00","666.00","666.00","666.00","","-3.20%"
"01/27/2015","688.00","688.00","688.00","688.00","","-2.13%"
"01/26/2015","703.00","703.00","703.00","703.00","","-2.36%"
"01/23/2015","720.00","720.00","720.00","720.00","","-4.13%"
"01/22/2015","751.00","751.00","751.00","751.00","","-2.47%"
"01/21/2015","770.00","770.00","770.00","770.00","","2.26%"
"01/20/2015","753.00","753.00","753.00","753.00","","1.89%"
"01/19/2015","739.00","739.00","739.00","739.00","","-0.27%"
"01/16/2015","741.00","741.00","741.00","741.00","","-1.07%"
"01/15/2015","749.00","749.00","749.00","749.00","","-1.06%"
"01/14/2015","757.00","757.00","757.00","757.00","","-0.66%"
"01/13/2015","762.00","762.00","762.00","762.00","","5.39%"
"01/12/2015","723.00","723.00","723.00","723.00","","1.97%"
"01/09/2015","709.00","709.00","709.00","709.00","","-2.07%"
"01/08/2015","724.00","724.00","724.00","724.00","","-2.69%"
"01/07/2015","744.00","744.00","744.00","744.00","","-1.85%"
"01/06/2015","758.00","758.00","758.00","758.00","","-0.39%"
"01/05/2015","761.00","761.00","761.00","761.00","","-1.30%"
"01/02/2015","771.00","771.00","771.00","771.00","","-1.41%"
"12/24/2014","782.00","782.00","782.00","782.00","","-0.76%"
"12/23/2014","788.00","788.00","788.00","788.00","","-0.76%"
"12/22/2014","794.00","794.00","794.00","794.00","","-1.12%"
"12/19/2014","803.00","803.00","803.00","803.00","","-1.35%"
"12/18/2014","814.00","814.00","814.00","814.00","","-1.57%"
"12/17/2014","827.00","827.00","827.00","827.00","","-1.31%"
"12/16/2014","838.00","838.00","838.00","838.00","","-0.83%"
"12/15/2014","845.00","845.00","845.00","845.00","","-2.09%"
"12/12/2014","863.00","863.00","863.00","863.00","","-2.71%"
"12/11/2014","887.00","887.00","887.00","887.00","","-2.63%"
"12/10/2014","911.00","911.00","911.00","911.00","","-2.36%"
"12/09/2014","933.00","933.00","933.00","933.00","","-2.00%"
"12/08/2014","952.00","952.00","952.00","952.00","","-3.05%"
"12/05/2014","982.00","982.00","982.00","982.00","","-3.63%"
"12/04/2014","1,019.00","1,019.00","1,019.00","1,019.00","","-5.56%"
"12/03/2014","1,079.00","1,079.00","1,079.00","1,079.00","","-3.57%"
"12/02/2014","1,119.00","1,119.00","1,119.00","1,119.00","","-1.58%"
"12/01/2014","1,137.00","1,137.00","1,137.00","1,137.00","","-1.39%"
"11/28/2014","1,153.00","1,153.00","1,153.00","1,153.00","","-2.86%"
"11/27/2014","1,187.00","1,187.00","1,187.00","1,187.00","","-4.20%"
"11/26/2014","1,239.00","1,239.00","1,239.00","1,239.00","","-5.64%"
"11/25/2014","1,313.00","1,313.00","1,313.00","1,313.00","","-0.30%"
"11/24/2014","1,317.00","1,317.00","1,317.00","1,317.00","","-0.53%"
"11/21/2014","1,324.00","1,324.00","1,324.00","1,324.00","","-0.60%"
