date,open,high,low,close,volume,commodity
2014-06-25,846.0,846.0,846.0,846.0,0,Baltic_Dry_Index
2014-06-26,824.0,824.0,824.0,824.0,0,Baltic_Dry_Index
2014-06-27,831.0,831.0,831.0,831.0,0,Baltic_Dry_Index
2014-06-30,850.0,850.0,850.0,850.0,0,Baltic_Dry_Index
2014-07-01,894.0,894.0,894.0,894.0,0,Baltic_Dry_Index
2014-07-02,890.0,890.0,890.0,890.0,0,Baltic_Dry_Index
2014-07-03,890.0,890.0,890.0,890.0,0,Baltic_Dry_Index
2014-07-04,893.0,893.0,893.0,893.0,0,Baltic_Dry_Index
2014-07-07,888.0,888.0,888.0,888.0,0,Baltic_Dry_Index
2014-07-08,881.0,881.0,881.0,881.0,0,Baltic_Dry_Index
2014-07-09,863.0,863.0,863.0,863.0,0,Baltic_Dry_Index
2014-07-10,836.0,836.0,836.0,836.0,0,Baltic_Dry_Index
2014-07-11,814.0,814.0,814.0,814.0,0,Baltic_Dry_Index
2014-07-14,798.0,798.0,798.0,798.0,0,Baltic_Dry_Index
2014-07-15,782.0,782.0,782.0,782.0,0,Baltic_Dry_Index
2014-07-16,755.0,755.0,755.0,755.0,0,Baltic_Dry_Index
2014-07-17,738.0,738.0,738.0,738.0,0,Baltic_Dry_Index
2014-07-18,732.0,732.0,732.0,732.0,0,Baltic_Dry_Index
2014-07-21,724.0,724.0,724.0,724.0,0,Baltic_Dry_Index
2014-07-22,723.0,723.0,723.0,723.0,0,Baltic_Dry_Index
2014-07-23,727.0,727.0,727.0,727.0,0,Baltic_Dry_Index
2014-07-24,732.0,732.0,732.0,732.0,0,Baltic_Dry_Index
2014-07-25,739.0,739.0,739.0,739.0,0,Baltic_Dry_Index
2014-07-28,743.0,743.0,743.0,743.0,0,Baltic_Dry_Index
2014-07-29,747.0,747.0,747.0,747.0,0,Baltic_Dry_Index
2014-07-30,754.0,754.0,754.0,754.0,0,Baltic_Dry_Index
2014-07-31,755.0,755.0,755.0,755.0,0,Baltic_Dry_Index
2014-08-01,751.0,751.0,751.0,751.0,0,Baltic_Dry_Index
2014-08-04,753.0,753.0,753.0,753.0,0,Baltic_Dry_Index
2014-08-05,755.0,755.0,755.0,755.0,0,Baltic_Dry_Index
2014-08-06,759.0,759.0,759.0,759.0,0,Baltic_Dry_Index
2014-08-07,765.0,765.0,765.0,765.0,0,Baltic_Dry_Index
2014-08-08,777.0,777.0,777.0,777.0,0,Baltic_Dry_Index
2014-08-11,792.0,792.0,792.0,792.0,0,Baltic_Dry_Index
2014-08-12,836.0,836.0,836.0,836.0,0,Baltic_Dry_Index
2014-08-13,871.0,871.0,871.0,871.0,0,Baltic_Dry_Index
2014-08-14,942.0,942.0,942.0,942.0,0,Baltic_Dry_Index
2014-08-15,1015.0,1015.0,1015.0,1015.0,0,Baltic_Dry_Index
2014-08-18,1042.0,1042.0,1042.0,1042.0,0,Baltic_Dry_Index
2014-08-19,1040.0,1040.0,1040.0,1040.0,0,Baltic_Dry_Index
2014-08-20,1061.0,1061.0,1061.0,1061.0,0,Baltic_Dry_Index
2014-08-21,1096.0,1096.0,1096.0,1096.0,0,Baltic_Dry_Index
2014-08-22,1088.0,1088.0,1088.0,1088.0,0,Baltic_Dry_Index
2014-08-26,1070.0,1070.0,1070.0,1070.0,0,Baltic_Dry_Index
2014-08-27,1063.0,1063.0,1063.0,1063.0,0,Baltic_Dry_Index
2014-08-28,1119.0,1119.0,1119.0,1119.0,0,Baltic_Dry_Index
2014-08-29,1147.0,1147.0,1147.0,1147.0,0,Baltic_Dry_Index
