CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO,HOGAR_ID,ADULTO_EQUIVALENTE,AD_EQUIV_HOGAR,INGRESO_NECESARIO,pobre
240864  ,1.0,3.0,2,78,,,2,3,1.0,1850.0,5550.0,0.0,0.0,0.0,2005,240864  _1.0,0.63,2.39,490.1173,0
241048  ,1.0,1.0,1,28,,,7,1,0.0,1050.0,2100.0,1500.0,3.0,Sí,2005,241048  _1.0,1.02,1.79,367.07529999999997,0
241048  ,1.0,2.0,2,32,,,7,1,0.0,1050.0,2100.0,600.0,2.0,No,2005,241048  _1.0,0.77,1.79,367.07529999999997,0
241074  ,1.0,1.0,1,51,,,7,1,0.0,666.6666666666666,2000.0,400.0,2.0,Sí,2005,241074  _1.0,1.0,2.45,502.42150000000004,0
241074  ,1.0,2.0,2,40,,,4,1,0.0,666.6666666666666,2000.0,1100.0,3.0,No,2005,241074  _1.0,0.77,2.45,502.42150000000004,0
241074  ,1.0,3.0,1,8,,,2,4,3.0,666.6666666666666,2000.0,0.0,0.0,0.0,2005,241074  _1.0,0.68,2.45,502.42150000000004,0
241233  ,1.0,1.0,1,58,,,7,1,0.0,1500.0,1500.0,1500.0,2.0,Sí,2005,241233  _1.0,1.0,1.0,205.07,0
241409  ,1.0,1.0,2,70,,,7,3,1.0,320.0,320.0,0.0,0.0,0.0,2005,241409  _1.0,0.67,0.67,137.39690000000002,0
241585  ,1.0,1.0,1,27,,,6,1,0.0,645.0,1935.0,1200.0,2.0,No,2005,241585  _1.0,1.02,2.15,440.90049999999997,0
241585  ,1.0,2.0,2,26,,,5,1,0.0,645.0,1935.0,735.0,3.0,No,2005,241585  _1.0,0.76,2.15,440.90049999999997,0
241585  ,1.0,3.0,2,1,,,1,4,5.0,645.0,1935.0,0.0,0.0,0.0,2005,241585  _1.0,0.37,2.15,440.90049999999997,0
241708  ,1.0,1.0,1,64,,,5,1,0.0,6500.0,13000.0,10000.0,1.0,No,2005,241708  _1.0,0.83,1.5899999999999999,326.06129999999996,0
241708  ,1.0,2.0,2,60,,,5,3,4.0,6500.0,13000.0,0.0,0.0,0.0,2005,241708  _1.0,0.76,1.5899999999999999,326.06129999999996,0
241828  ,1.0,1.0,1,57,,,6,1,0.0,1025.0,2050.0,2050.0,3.0,No,2005,241828  _1.0,1.0,1.76,360.9232,0
241828  ,1.0,2.0,2,57,,,7,3,4.0,1025.0,2050.0,0.0,0.0,0.0,2005,241828  _1.0,0.76,1.76,360.9232,0
241930  ,1.0,1.0,2,74,,,3,1,0.0,620.0,620.0,0.0,2.0,No,2005,241930  _1.0,0.67,0.67,137.39690000000002,0
242023  ,1.0,1.0,2,70,,,7,3,1.0,920.0,920.0,0.0,0.0,0.0,2005,242023  _1.0,0.67,0.67,137.39690000000002,0
242326  ,1.0,1.0,1,53,,,3,2,0.0,133.33333333333334,400.0,0.0,3.0,0.0,2005,242326  _1.0,1.0,2.7800000000000002,570.0946,1
