fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
20,2640,60,2000-01-03,2010-03-03,2010-03-04,2010-05-26,18.648670330158495,14.887259753800302,-0.22039772612305986,0.6166666666666667
21,2700,60,2000-01-03,2010-05-26,2010-05-27,2010-08-18,80.40882538530896,61.79217590964701,0.36984478398027665,0.35
22,2760,60,2000-01-03,2010-08-18,2010-08-19,2010-11-10,50.4839722019021,40.915171188809396,-1.1322108235193,0.6166666666666667
23,2820,60,2000-01-03,2010-11-10,2010-11-11,2011-02-02,72.58653620067764,51.18802009109149,0.23960924591671473,0.55
24,2880,60,2000-01-03,2011-02-02,2011-02-03,2011-04-27,71.57002203192984,53.623999955453975,-0.42605236161971405,0.6166666666666667
25,2940,60,2000-01-03,2011-04-27,2011-04-28,2011-07-20,61.95608577279387,47.412689851680824,0.20559697728034287,0.5833333333333334
26,3000,60,2000-01-03,2011-07-20,2011-07-21,2011-10-12,44.74734884247497,32.52899842762291,0.21247048891278186,0.6166666666666667
27,3060,60,2000-01-03,2011-10-12,2011-10-13,2012-01-04,38.89683202177574,31.036760902275304,-0.4712045495692694,0.6333333333333333
28,3120,60,2000-01-03,2012-01-04,2012-01-05,2012-03-28,40.059311576223976,31.427338746736545,-0.5248782089941031,0.5666666666666667
29,3180,60,2000-01-03,2012-03-28,2012-03-29,2012-06-20,53.070021755404184,42.73827547285324,-0.7905367127133909,0.5166666666666667
30,3240,60,2000-01-03,2012-06-20,2012-06-21,2012-09-12,123.73666221522427,117.36629603197801,-1.96008748134602,0.43333333333333335
31,3300,60,2000-01-03,2012-09-12,2012-09-13,2012-12-05,80.85298750556119,53.98170048070031,-0.09087884869890273,0.6833333333333333
32,3360,60,2000-01-03,2012-12-05,2012-12-06,2013-02-27,82.48312847253419,54.320470720049315,-0.5365275620106809,0.3
33,3420,60,2000-01-03,2013-02-27,2013-02-28,2013-05-22,42.26335681185785,26.117554261739418,-0.36963458864755827,0.6
34,3480,60,2000-01-03,2013-05-22,2013-05-23,2013-08-14,29.254649476399536,17.639267989339082,-0.018870408792899918,0.7
35,3540,60,2000-01-03,2013-08-14,2013-08-15,2013-11-06,25.312489061977796,20.354294576903694,0.25756126434904214,0.4666666666666667
36,3600,60,2000-01-03,2013-11-06,2013-11-07,2014-01-29,34.635456940643195,24.060667985899087,0.16543325306834622,0.4
37,3660,60,2000-01-03,2014-01-29,2014-01-30,2014-04-23,36.24395163462849,28.11269144152706,0.4020158158608904,0.5666666666666667
38,3720,60,2000-01-03,2014-04-23,2014-04-24,2014-07-16,47.04543889022812,39.74223388551864,0.4203787256585949,0.25
39,3780,60,2000-01-03,2014-07-16,2014-07-17,2014-10-08,23.763685250277213,18.930494789819264,0.20675705599020688,0.5166666666666667
40,3840,60,2000-01-03,2014-10-08,2014-10-09,2014-12-31,46.02137731752772,38.95756190484283,-0.2800282394790392,0.35
41,3900,60,2000-01-03,2014-12-31,2015-01-01,2015-03-25,51.24425629253857,44.75772441307912,-10.374797926025945,0.43333333333333335
42,3960,60,2000-01-03,2015-03-25,2015-03-26,2015-06-17,37.62594920515521,30.05419250305829,-2.271304233676378,0.5333333333333333
43,4020,60,2000-01-03,2015-06-17,2015-06-18,2015-09-09,40.52126594484214,28.22752607240451,-0.05810093763864632,0.55
44,4080,60,2000-01-03,2015-09-09,2015-09-10,2015-12-02,27.29986735194227,22.2640622544963,-1.2636921574399747,0.48333333333333334
45,4140,60,2000-01-03,2015-12-02,2015-12-03,2016-02-24,25.218672670583867,20.55633443513936,-0.9988499682173002,0.4666666666666667
46,4200,60,2000-01-03,2016-02-24,2016-02-25,2016-05-18,21.843815260884842,16.98126124745189,-1.9440264256472863,0.5333333333333333
47,4260,60,2000-01-03,2016-05-18,2016-05-19,2016-08-10,29.174818687674176,23.862468496855772,0.29532790627332983,0.4666666666666667
48,4320,60,2000-01-03,2016-08-10,2016-08-11,2016-11-02,32.74093555282047,22.4098228361651,-0.1528736937919497,0.6833333333333333
49,4380,60,2000-01-03,2016-11-02,2016-11-03,2017-01-25,36.43411488287787,30.079578777022114,-0.32813646504095173,0.5833333333333334
50,4440,60,2000-01-03,2017-01-25,2017-01-26,2017-04-19,25.84748030716477,19.860035651060443,-0.6750350526676006,0.55
51,4500,60,2000-01-03,2017-04-19,2017-04-20,2017-07-12,33.066435350524515,24.410150721809636,0.1993873411933843,0.55
52,4560,60,2000-01-03,2017-07-12,2017-07-13,2017-10-04,47.14057966289684,43.131077834699425,-2.6313684205867287,0.3333333333333333
53,4620,60,2000-01-03,2017-10-04,2017-10-05,2017-12-27,29.357305173067,20.20540181009737,-0.38678074149482433,0.36666666666666664
54,4680,60,2000-01-03,2017-12-27,2017-12-28,2018-03-21,31.6409298819343,24.562485276678178,-0.4461738114646936,0.4666666666666667
55,4740,60,2000-01-03,2018-03-21,2018-03-22,2018-06-13,28.322874964668422,22.284582974937976,-0.35332019778283685,0.65
56,4800,60,2000-01-03,2018-06-13,2018-06-14,2018-09-05,41.5145977961404,35.53076811244963,-1.0640390184173967,0.36666666666666664
57,4860,60,2000-01-03,2018-09-05,2018-09-06,2018-11-28,14.086204476616325,12.109120913532355,-1.7389613802640578,0.5666666666666667
58,4920,60,2000-01-03,2018-11-28,2018-11-29,2019-02-20,24.31433176636222,20.155937788456125,-0.6976021298520703,0.5
59,4980,60,2000-01-03,2019-02-20,2019-02-21,2019-05-15,33.701559859893266,26.520921771187105,-1.9400947190764302,0.48333333333333334
60,5040,60,2000-01-03,2019-05-15,2019-05-16,2019-08-07,31.96229004380229,26.028408597238823,-1.5699024650665252,0.55
61,5100,60,2000-01-03,2019-08-07,2019-08-08,2019-10-30,14.788918211331426,10.45012237769294,0.4950234529208941,0.6666666666666666
62,5160,60,2000-01-03,2019-10-30,2019-10-31,2020-01-22,14.969239935758575,12.310224715657888,0.511160447064629,0.55
63,5220,60,2000-01-03,2020-01-22,2020-01-23,2020-04-15,28.166258839264874,23.793276859140313,-1.2966258405846385,0.4
64,5280,60,2000-01-03,2020-04-15,2020-04-16,2020-07-08,18.730132147021745,15.744345766320807,-0.2597116047080239,0.65
65,5340,60,2000-01-03,2020-07-08,2020-07-09,2020-09-30,24.203242742649387,18.359795236742876,0.17425704819302335,0.6333333333333333
66,5400,60,2000-01-03,2020-09-30,2020-10-01,2020-12-23,28.801013487480773,22.907453120888707,-0.26870785788794826,0.55
67,5460,60,2000-01-03,2020-12-23,2020-12-24,2021-03-17,32.767801979712765,23.770519525702582,-0.4408152881673151,0.6
68,5520,60,2000-01-03,2021-03-17,2021-03-18,2021-06-09,51.19085348044692,37.686784908994504,0.04811304228308033,0.5
69,5580,60,2000-01-03,2021-06-09,2021-06-10,2021-09-01,41.22429165989383,28.944483391698594,0.2736014387535598,0.5
70,5640,60,2000-01-03,2021-09-01,2021-09-02,2021-11-24,54.22212308462931,39.39368387188883,-0.033653897652397236,0.3333333333333333
71,5700,60,2000-01-03,2021-11-24,2021-11-25,2022-02-16,72.03562801547304,45.25388192243974,-0.21589580058165492,0.5166666666666667
72,5760,60,2000-01-03,2022-02-16,2022-02-17,2022-05-11,182.70193739426165,125.92715740761429,-1.5009820232536728,0.5333333333333333
73,5820,60,2000-01-03,2022-05-11,2022-05-12,2022-08-03,180.74303802190315,130.2161648728587,-0.3246582601991297,0.25
74,5880,60,2000-01-03,2022-08-03,2022-08-04,2022-10-26,56.34851923763764,40.87027424520982,0.18313150739475836,0.48333333333333334
75,5940,60,2000-01-03,2022-10-26,2022-10-27,2023-01-18,65.92074963617617,42.19060240653286,0.07323212557068004,0.6166666666666667
76,6000,60,2000-01-03,2023-01-18,2023-01-19,2023-04-12,50.52828724934322,42.16157268263948,-0.00830796913527898,0.5
77,6060,60,2000-01-03,2023-04-12,2023-04-13,2023-07-05,61.78950802225206,45.11462619651309,-1.189624488810407,0.5666666666666667
78,6120,60,2000-01-03,2023-07-05,2023-07-06,2023-09-27,57.977914014762305,38.10877989636784,-0.12500148965544922,0.6166666666666667
79,6180,60,2000-01-03,2023-09-27,2023-09-28,2023-12-20,29.462567751110477,21.316975481522665,-0.11613241249028072,0.6
80,6240,60,2000-01-03,2023-12-20,2023-12-21,2024-03-13,27.552563294923644,20.82035559994136,0.13842075050499092,0.75
81,6300,60,2000-01-03,2024-03-13,2024-03-14,2024-06-05,42.18832636940211,32.7334520318294,0.37183859867761426,0.5166666666666667
82,6360,60,2000-01-03,2024-06-05,2024-06-06,2024-08-28,32.4686259955556,23.299935284881368,-2.0645299997795505,0.5833333333333334
83,6420,60,2000-01-03,2024-08-28,2024-08-29,2024-11-20,21.367903463456255,17.628245812846508,-0.10851592620893946,0.55
84,6480,60,2000-01-03,2024-11-20,2024-11-21,2025-02-13,14.814243437686223,11.368964965698916,0.48623686341097394,0.5666666666666667
85,6540,60,2000-01-03,2025-02-13,2025-02-14,2025-05-09,36.700622737082206,30.018761925526018,-3.8750733524768615,0.5166666666666667
86,6600,60,2000-01-03,2025-05-09,2025-05-12,2025-08-01,24.235750511913857,19.634546878811154,-2.1021452691334552,0.5166666666666667
87,6660,60,2000-01-03,2025-08-01,2025-08-04,2025-10-24,30.685403483251434,25.72581794551197,-5.6181267751181805,0.4166666666666667
