fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
61,5100,60,2000-01-03,2019-08-07,2019-08-08,2019-10-30,18.613366327524826,16.200342204227233,-0.390889079787788,0.5
62,5160,60,2000-01-03,2019-10-30,2019-10-31,2020-01-22,9.99032412462666,7.174974280700003,-0.15564729884269868,0.6833333333333333
63,5220,60,2000-01-03,2020-01-22,2020-01-23,2020-04-15,15.55210085749938,10.439955661602555,0.5855610809538536,0.7166666666666667
64,5280,60,2000-01-03,2020-04-15,2020-04-16,2020-07-08,16.42925183823218,12.464583949196943,-0.35055224198436163,0.5166666666666667
65,5340,60,2000-01-03,2020-07-08,2020-07-09,2020-09-30,14.747069458838803,11.582198364767224,0.6586896408304278,0.6333333333333333
66,5400,60,2000-01-03,2020-09-30,2020-10-01,2020-12-23,23.860440430812034,18.313544461093148,-0.3373200488592638,0.4
67,5460,60,2000-01-03,2020-12-23,2020-12-24,2021-03-17,42.10422298396092,33.55930604309645,-0.4043157751477222,0.36666666666666664
68,5520,60,2000-01-03,2021-03-17,2021-03-18,2021-06-09,81.50822026460293,62.3328511826561,-0.07163816119044442,0.35
69,5580,60,2000-01-03,2021-06-09,2021-06-10,2021-09-01,59.60493350950768,37.02230915536364,0.2772403880599019,0.5666666666666667
70,5640,60,2000-01-03,2021-09-01,2021-09-02,2021-11-24,41.80527503673004,34.55843924896188,-0.7519671354950017,0.3333333333333333
71,5700,60,2000-01-03,2021-11-24,2021-11-25,2022-02-16,57.91678460218644,39.449827860201154,0.007727706335449835,0.2833333333333333
72,5760,60,2000-01-03,2022-02-16,2022-02-17,2022-05-11,62.722659093634775,35.025303225080116,-0.16845356838804615,0.4666666666666667
73,5820,60,2000-01-03,2022-05-11,2022-05-12,2022-08-03,107.7962281295531,61.76326114283837,-0.10340814616152216,0.48333333333333334
74,5880,60,2000-01-03,2022-08-03,2022-08-04,2022-10-26,51.759198452179966,38.13864010608464,-0.4035591864768653,0.38333333333333336
75,5940,60,2000-01-03,2022-10-26,2022-10-27,2023-01-18,72.30258600427196,36.52443988758694,-0.0059813364393470625,0.55
76,6000,60,2000-01-03,2023-01-18,2023-01-19,2023-04-12,55.00710194420672,32.62476661279881,-0.06448085380898316,0.48333333333333334
77,6060,60,2000-01-03,2023-04-12,2023-04-13,2023-07-05,63.20247313708203,44.507328822521714,-0.12440427928954323,0.5333333333333333
78,6120,60,2000-01-03,2023-07-05,2023-07-06,2023-09-27,25.13588410322887,17.010615994283906,0.19640110077379436,0.6
79,6180,60,2000-01-03,2023-09-27,2023-09-28,2023-12-20,17.290319568245348,9.521137846605495,0.30375179544713693,0.7166666666666667
80,6240,60,2000-01-03,2023-12-20,2023-12-21,2024-03-13,22.06657093401403,15.3263145430118,-0.15898636344300865,0.43333333333333335
81,6300,60,2000-01-03,2024-03-13,2024-03-14,2024-06-05,26.11426054756742,24.030640840614854,-1.6382011059259716,0.35
82,6360,60,2000-01-03,2024-06-05,2024-06-06,2024-08-28,15.382820663335965,10.84568627502,0.38579191545060143,0.7166666666666667
83,6420,60,2000-01-03,2024-08-28,2024-08-29,2024-11-20,19.79445700867101,16.58062012601986,-1.2504957351349102,0.5166666666666667
84,6480,60,2000-01-03,2024-11-20,2024-11-21,2025-02-13,23.861384437006187,16.252487049455752,0.3929028215110476,0.4166666666666667
85,6540,60,2000-01-03,2025-02-13,2025-02-14,2025-05-09,26.932927570530122,20.707403806735442,-2.5457199519440623,0.5166666666666667
86,6600,60,2000-01-03,2025-05-09,2025-05-12,2025-08-01,26.984907691503587,23.805482748323517,-0.22113566130504103,0.2833333333333333
87,6660,60,2000-01-03,2025-08-01,2025-08-04,2025-10-24,13.966974142756115,11.778890222825634,0.38058878899017023,0.6166666666666667
