fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
31,3300,60,2000-01-03,2012-09-12,2012-09-13,2012-12-05,87.00857610125124,35.56692421776828,-0.16443466365189008,0.6166666666666667
32,3360,60,2000-01-03,2012-12-05,2012-12-06,2013-02-27,87.29885687890774,38.466535384847774,-0.06743614218307559,0.6
33,3420,60,2000-01-03,2013-02-27,2013-02-28,2013-05-22,65.22443765468566,39.09548105651619,-0.04388764035559567,0.6333333333333333
34,3480,60,2000-01-03,2013-05-22,2013-05-23,2013-08-14,79.2242586656907,58.701383256069576,0.2844441919406394,0.5166666666666667
35,3540,60,2000-01-03,2013-08-14,2013-08-15,2013-11-06,29.16817587163643,24.46217606305556,-0.28534995263697316,0.4166666666666667
36,3600,60,2000-01-03,2013-11-06,2013-11-07,2014-01-29,21.742578265085054,17.456652044235625,-1.3728323046393949,0.43333333333333335
37,3660,60,2000-01-03,2014-01-29,2014-01-30,2014-04-23,25.674035654521543,17.252285004420052,0.17448617526839705,0.48333333333333334
38,3720,60,2000-01-03,2014-04-23,2014-04-24,2014-07-16,27.5048285912829,21.116652808949492,0.6059852940509118,0.43333333333333335
39,3780,60,2000-01-03,2014-07-16,2014-07-17,2014-10-08,23.89925848868565,20.846460142395017,-1.8282261345624953,0.36666666666666664
40,3840,60,2000-01-03,2014-10-08,2014-10-09,2014-12-31,13.596906563186533,11.06478216364082,0.40561337935906927,0.6833333333333333
41,3900,60,2000-01-03,2014-12-31,2015-01-01,2015-03-25,11.73226884225751,10.119804301245804,-2.2269596557540954,0.5166666666666667
42,3960,60,2000-01-03,2015-03-25,2015-03-26,2015-06-17,13.386843005237033,12.05826583890956,-1.0899958576623283,0.45
43,4020,60,2000-01-03,2015-06-17,2015-06-18,2015-09-09,25.626492370547844,18.555570787677564,-0.13835327523902907,0.7166666666666667
44,4080,60,2000-01-03,2015-09-09,2015-09-10,2015-12-02,8.924707298326712,7.15633334208002,0.21049245870751787,0.65
45,4140,60,2000-01-03,2015-12-02,2015-12-03,2016-02-24,12.524802004257467,10.493350100333604,-1.5558507626356501,0.4666666666666667
46,4200,60,2000-01-03,2016-02-24,2016-02-25,2016-05-18,11.878279940122491,9.644877527216492,0.3234579652354276,0.6666666666666666
47,4260,60,2000-01-03,2016-05-18,2016-05-19,2016-08-10,21.35194567759258,18.62232882260455,0.7060969142592428,0.5333333333333333
48,4320,60,2000-01-03,2016-08-10,2016-08-11,2016-11-02,13.348547978221262,9.589845423254106,0.33468584230808407,0.65
49,4380,60,2000-01-03,2016-11-02,2016-11-03,2017-01-25,9.89289928685031,7.915180476709926,0.15034450513138464,0.55
50,4440,60,2000-01-03,2017-01-25,2017-01-26,2017-04-19,6.874446593284106,5.532548162085598,-0.12273533682803106,0.6666666666666666
51,4500,60,2000-01-03,2017-04-19,2017-04-20,2017-07-12,12.022263373429446,9.408707445653912,-0.6834993106049234,0.5833333333333334
52,4560,60,2000-01-03,2017-07-12,2017-07-13,2017-10-04,11.185901531763673,8.852231795612019,0.04782133625236218,0.6166666666666667
53,4620,60,2000-01-03,2017-10-04,2017-10-05,2017-12-27,12.755945394107997,11.24895279367115,-1.0928373414979031,0.4666666666666667
54,4680,60,2000-01-03,2017-12-27,2017-12-28,2018-03-21,8.634260385255063,6.843617609104604,0.4484408230716398,0.5
55,4740,60,2000-01-03,2018-03-21,2018-03-22,2018-06-13,12.032743867978017,10.364981279851516,0.20178999387443897,0.6166666666666667
56,4800,60,2000-01-03,2018-06-13,2018-06-14,2018-09-05,13.3869397098209,11.268571385641923,-0.3673896198395419,0.5333333333333333
57,4860,60,2000-01-03,2018-09-05,2018-09-06,2018-11-28,7.3416528775967125,6.2784026281294,0.008369224897783578,0.6166666666666667
58,4920,60,2000-01-03,2018-11-28,2018-11-29,2019-02-20,5.613376984728231,4.385837977348017,-0.6287000178093047,0.48333333333333334
59,4980,60,2000-01-03,2019-02-20,2019-02-21,2019-05-15,14.25167950455874,11.914304042622271,-0.22376390546025227,0.5
60,5040,60,2000-01-03,2019-05-15,2019-05-16,2019-08-07,34.72138622798822,30.918881675478087,-1.2446287347154743,0.5833333333333334
61,5100,60,2000-01-03,2019-08-07,2019-08-08,2019-10-30,13.522764101671862,11.481943405124241,0.26586895153201384,0.4666666666666667
62,5160,60,2000-01-03,2019-10-30,2019-10-31,2020-01-22,9.303863583272697,6.840535065194558,-0.0022886657114336018,0.6166666666666667
63,5220,60,2000-01-03,2020-01-22,2020-01-23,2020-04-15,22.28216564362112,17.495890918905594,0.14925931806898263,0.4666666666666667
64,5280,60,2000-01-03,2020-04-15,2020-04-16,2020-07-08,19.79920364497632,17.99856018598801,-0.9614229827726857,0.6
65,5340,60,2000-01-03,2020-07-08,2020-07-09,2020-09-30,16.733637370905345,14.181677282036507,0.5605406339739205,0.55
66,5400,60,2000-01-03,2020-09-30,2020-10-01,2020-12-23,22.61100553723943,18.421137695993878,-0.2009313896106275,0.31666666666666665
67,5460,60,2000-01-03,2020-12-23,2020-12-24,2021-03-17,36.81415208052918,22.150768996405283,-0.0736013885196134,0.5833333333333334
68,5520,60,2000-01-03,2021-03-17,2021-03-18,2021-06-09,66.93539238039673,44.50922613740978,0.27730179358156193,0.6166666666666667
