fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
42,3960,60,2000-01-03,2015-03-25,2015-03-26,2015-06-17,25.674401310343683,21.465230967839027,-0.5231639646366097,0.6166666666666667
43,4020,60,2000-01-03,2015-06-17,2015-06-18,2015-09-09,39.3330373699384,32.5697343554365,0.003043845171137094,0.4166666666666667
44,4080,60,2000-01-03,2015-09-09,2015-09-10,2015-12-02,20.367994283947215,17.720964151023335,-0.26006463092658105,0.5666666666666667
45,4140,60,2000-01-03,2015-12-02,2015-12-03,2016-02-24,24.539949750871816,21.455709582367426,-0.8927056842785066,0.4166666666666667
46,4200,60,2000-01-03,2016-02-24,2016-02-25,2016-05-18,24.95404479943234,20.391130411381013,-2.8420818701035953,0.5333333333333333
47,4260,60,2000-01-03,2016-05-18,2016-05-19,2016-08-10,47.86002044077177,44.04746212391017,-0.8963412892014537,0.4666666666666667
48,4320,60,2000-01-03,2016-08-10,2016-08-11,2016-11-02,44.72943005923267,41.016516890119604,-1.1517226355800063,0.48333333333333334
49,4380,60,2000-01-03,2016-11-02,2016-11-03,2017-01-25,37.842687615974945,34.704122714288374,-0.4328152639502374,0.5833333333333334
50,4440,60,2000-01-03,2017-01-25,2017-01-26,2017-04-19,26.701917113187314,21.962548721941676,-0.7876082916265978,0.5166666666666667
51,4500,60,2000-01-03,2017-04-19,2017-04-20,2017-07-12,32.57127287726474,22.456938959340924,0.2231857996457488,0.7
52,4560,60,2000-01-03,2017-07-12,2017-07-13,2017-10-04,37.316639360800494,31.886179003415357,-1.2755455134218199,0.38333333333333336
53,4620,60,2000-01-03,2017-10-04,2017-10-05,2017-12-27,30.197067455078162,25.259617208624686,-0.467252861983255,0.38333333333333336
54,4680,60,2000-01-03,2017-12-27,2017-12-28,2018-03-21,25.16115007617847,18.67325039511706,0.08550151076482804,0.65
55,4740,60,2000-01-03,2018-03-21,2018-03-22,2018-06-13,29.275276855676918,23.21332354850296,-0.4458655666132123,0.6333333333333333
