fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
23,2820,60,2000-01-03,2010-11-10,2010-11-11,2011-02-02,138.7414800153038,128.35247111565639,-0.8691904215055777,0.3333333333333333
24,2880,60,2000-01-03,2011-02-02,2011-02-03,2011-04-27,96.74061002456453,61.886521292821335,-0.7597961265208708,0.5666666666666667
25,2940,60,2000-01-03,2011-04-27,2011-04-28,2011-07-20,76.15184326190382,37.05385351434173,-0.11944560191291975,0.6833333333333333
26,3000,60,2000-01-03,2011-07-20,2011-07-21,2011-10-12,90.58836072390451,63.204987295199224,0.041322172226341936,0.6833333333333333
27,3060,60,2000-01-03,2011-10-12,2011-10-13,2012-01-04,75.82536149659559,61.13360587753513,-0.9260971554329365,0.3
28,3120,60,2000-01-03,2012-01-04,2012-01-05,2012-03-28,94.13692434337919,76.71139059428904,0.0437246835009909,0.26666666666666666
29,3180,60,2000-01-03,2012-03-28,2012-03-29,2012-06-20,131.31447445810156,119.91388025894611,-2.525598897391289,0.45
30,3240,60,2000-01-03,2012-06-20,2012-06-21,2012-09-12,331.63026438856883,327.4566576123026,-4.955011271278255,0.3333333333333333
31,3300,60,2000-01-03,2012-09-12,2012-09-13,2012-12-05,145.05423817848995,86.97149642712938,-0.3337157525743981,0.4
32,3360,60,2000-01-03,2012-12-05,2012-12-06,2013-02-27,119.14625454592858,53.722522727156075,-0.005816543690636111,0.5833333333333334
33,3420,60,2000-01-03,2013-02-27,2013-02-28,2013-05-22,90.5189794838201,49.658579065163835,0.018889012267375493,0.7166666666666667
34,3480,60,2000-01-03,2013-05-22,2013-05-23,2013-08-14,105.88586098497971,84.91095403961866,0.1546354473979662,0.5
35,3540,60,2000-01-03,2013-08-14,2013-08-15,2013-11-06,82.94093756029474,65.54242676457548,-0.2683484232283597,0.6
36,3600,60,2000-01-03,2013-11-06,2013-11-07,2014-01-29,103.96571790696521,86.61462093120174,-0.5362950022938886,0.45
37,3660,60,2000-01-03,2014-01-29,2014-01-30,2014-04-23,109.52865842029576,96.18557404226473,-0.2939732998426614,0.23333333333333334
38,3720,60,2000-01-03,2014-04-23,2014-04-24,2014-07-16,102.6969553277792,59.73759504569203,0.34592636614178174,0.6666666666666666
39,3780,60,2000-01-03,2014-07-16,2014-07-17,2014-10-08,96.9071200972009,81.47144730301655,0.36988379008216965,0.45
40,3840,60,2000-01-03,2014-10-08,2014-10-09,2014-12-31,35.3579795263145,27.527409373218322,-1.0047682653648575,0.5333333333333333
41,3900,60,2000-01-03,2014-12-31,2015-01-01,2015-03-25,29.47007903818647,23.26506934849653,-2.373955985643287,0.55
42,3960,60,2000-01-03,2015-03-25,2015-03-26,2015-06-17,27.656593622695564,22.496987517686694,-0.7803419557138971,0.6333333333333333
43,4020,60,2000-01-03,2015-06-17,2015-06-18,2015-09-09,56.849832043139635,50.3716874130702,0.12652261048586932,0.3333333333333333
44,4080,60,2000-01-03,2015-09-09,2015-09-10,2015-12-02,37.535275462787006,30.016601494279044,-2.7604560525276693,0.4666666666666667
45,4140,60,2000-01-03,2015-12-02,2015-12-03,2016-02-24,33.15498971173029,26.514331928055732,-0.23197561584997928,0.5
46,4200,60,2000-01-03,2016-02-24,2016-02-25,2016-05-18,44.3433651553539,36.025022894107074,0.6061490508429785,0.5166666666666667
47,4260,60,2000-01-03,2016-05-18,2016-05-19,2016-08-10,62.1462894802361,51.96794967308985,0.08576477888883605,0.48333333333333334
48,4320,60,2000-01-03,2016-08-10,2016-08-11,2016-11-02,25.411118158421157,18.496852304046705,-0.47436511746429355,0.75
49,4380,60,2000-01-03,2016-11-02,2016-11-03,2017-01-25,37.19102931272659,28.710053614571674,-1.0457359653911316,0.5
50,4440,60,2000-01-03,2017-01-25,2017-01-26,2017-04-19,28.973089575468094,25.979074361677768,0.4328538694939137,0.48333333333333334
51,4500,60,2000-01-03,2017-04-19,2017-04-20,2017-07-12,35.64611723255873,29.536931462293204,-0.29308345543036496,0.6
52,4560,60,2000-01-03,2017-07-12,2017-07-13,2017-10-04,18.90804014948141,15.64966014690919,0.16966674059654752,0.7333333333333333
53,4620,60,2000-01-03,2017-10-04,2017-10-05,2017-12-27,15.363353606284171,12.860388087278492,-0.06281742451153982,0.6166666666666667
54,4680,60,2000-01-03,2017-12-27,2017-12-28,2018-03-21,24.84844860260901,19.90758243002546,0.41226706313017025,0.6333333333333333
55,4740,60,2000-01-03,2018-03-21,2018-03-22,2018-06-13,37.66057431072036,28.16181862745246,0.3362218179670061,0.5
56,4800,60,2000-01-03,2018-06-13,2018-06-14,2018-09-05,60.06890422900099,54.60289889804447,-2.3218669609723794,0.36666666666666664
57,4860,60,2000-01-03,2018-09-05,2018-09-06,2018-11-28,27.879233958841272,17.87761055023534,0.1464279958489053,0.7
58,4920,60,2000-01-03,2018-11-28,2018-11-29,2019-02-20,26.497096593550847,19.925156277656303,-0.2524194176580894,0.4166666666666667
59,4980,60,2000-01-03,2019-02-20,2019-02-21,2019-05-15,35.96939976149146,27.380957014644135,0.10384291073071195,0.5
60,5040,60,2000-01-03,2019-05-15,2019-05-16,2019-08-07,52.02946775361384,42.69364948010692,-3.0018971112923722,0.5666666666666667
61,5100,60,2000-01-03,2019-08-07,2019-08-08,2019-10-30,25.654519030032983,19.433567840277625,0.3960050808042205,0.55
62,5160,60,2000-01-03,2019-10-30,2019-10-31,2020-01-22,35.03873293383357,28.723091947854073,-0.5918831991821714,0.4
63,5220,60,2000-01-03,2020-01-22,2020-01-23,2020-04-15,35.908311543708955,28.943042365146017,-0.37055929563014556,0.5166666666666667
64,5280,60,2000-01-03,2020-04-15,2020-04-16,2020-07-08,25.069858611774322,15.05897532778717,0.328927522045699,0.7333333333333333
65,5340,60,2000-01-03,2020-07-08,2020-07-09,2020-09-30,24.340814229605105,19.224134182874526,0.8223099547097191,0.75
66,5400,60,2000-01-03,2020-09-30,2020-10-01,2020-12-23,79.67159981329164,67.85946303955812,-0.033788312793674224,0.38333333333333336
67,5460,60,2000-01-03,2020-12-23,2020-12-24,2021-03-17,92.342111110843,56.221856712336994,-0.3956996648934432,0.5833333333333334
68,5520,60,2000-01-03,2021-03-17,2021-03-18,2021-06-09,123.61219375907285,86.33768509937198,-0.026228682985514284,0.55
69,5580,60,2000-01-03,2021-06-09,2021-06-10,2021-09-01,90.23303764324156,54.356575414935605,0.013030984442332083,0.6833333333333333
70,5640,60,2000-01-03,2021-09-01,2021-09-02,2021-11-24,50.589948063549656,33.76816182798161,-0.35630926551089126,0.55
71,5700,60,2000-01-03,2021-11-24,2021-11-25,2022-02-16,123.98273442033198,86.753665941471,0.34978800482849914,0.36666666666666664
72,5760,60,2000-01-03,2022-02-16,2022-02-17,2022-05-11,156.41345361773622,143.25844542065803,-1.7441647972950807,0.43333333333333335
